DR_ID|DR_LoadTime|DR_Start|DR_End|DR_Current|CasNumber|IngredientName|MatchingStrategy|PercentofConfidence|DisclosureStatus|IsSand|SandMeshSize|SandQuality|IsResinCoated|IsArtificial
3745|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|67630|"2- propanol"|"NO CAS MATCH FOUND"||Disclosed|||||
3746|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|127087870|"poly(oxy-1,2-ethanediyl), alpha-(-nonylphenyl)-omega-hydroxy-, branched"|"NO CAS MATCH FOUND"||Disclosed|||||
3747|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|127087870|"poly(oxy-1,2-ethanediyl),alpha-(4-nonyphenyl)-omega-hydroxy-, branched"|"NO CAS MATCH FOUND"||Disclosed|||||
3748|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|127087870|"poly(oxy-1,2-ethanedryl),alpha-(4-nonylphenyl)-omega-hydroxy-branched"|"NO CAS MATCH FOUND"||Disclosed|||||
3749|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|127087870|"poly(oxy-1,2-ethediyl), alpha-(4-nonylphenyl)-omega-hydroxy-,branched"|"NO CAS MATCH FOUND"||Disclosed|||||
3750|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|127087870|"proprietary"|"NO CAS MATCH FOUND"||Undisclosed Name but Associated CAS Number|||||
3751|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|129828315|"esterified phenolic polymer"|"NO CAS MATCH FOUND"||Disclosed|||||
3752|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|67630|"iospropanol"|"NO CAS MATCH FOUND"||Disclosed|||||
3753|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|67630|"isopropal"|"NO CAS MATCH FOUND"||Disclosed|||||
3754|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|67630|"isopropyl alcohol (ipa)"|"NO CAS MATCH FOUND"||Disclosed|||||
3755|2016-07-01 13:34:25.1001891|1900-01-01 00:00:00.0000000|9999-12-31 23:59:59.9999999|True|67630|"isoprppyl alcohol"|"NO CAS MATCH FOUND"||Disclosed|||||
